project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Math	46	3.0	8.0	1.0	3.0	8.0	1.0	3.0	8.0	1.0	0.0007274490785645005	0.0019398642095053346	0.00024248302618816683	0.0007274490785645005	0.0019398642095053346	0.00024248302618816683	0.0007274490785645005	0.0019398642095053346	0.00024248302618816683
Math	47	3.0	2.0	1.0	3.0	2.0	1.0	4.0	4.0	4.0	0.000727802037845706	0.00048520135856380397	0.00024260067928190198	0.000727802037845706	0.00048520135856380397	0.00024260067928190198	0.0007884522076661815	0.0006065016982047549	0.0004245511887433285
Math	48	412.5	412.5	412.5	412.5	412.5	412.5	412.5	412.5	412.5	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443	0.08451137062077443
Math	49	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567	0.0009838646202282567
Math	5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928	0.0038022813688212928
Math	50	1.0	1.0	1.0	3.0	3.0	3.0	5.0	5.0	5.0	0.00020610057708161583	0.00020610057708161583	0.00020610057708161583	0.00020610057708161583	0.00020610057708161583	0.00020610057708161583	0.0005152514427040395	0.0005152514427040395	0.0005152514427040395
Math	51	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663	0.006645279560036663
Math	52	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551	0.001982378854625551
Math	53	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648	0.0012492192379762648
Math	54	11.0	11.0	11.0	362.0	362.0	362.0	362.0	362.0	362.0	0.0027007120058924624	0.0027007120058924624	0.0027007120058924624	0.0027007120058924624	0.0027007120058924624	0.0027007120058924624	0.04578934446354039	0.04578934446354039	0.04578934446354039
Math	55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266	0.00034223134839151266
Math	56	4.5	4.5	4.5	7.0	7.0	7.0	192.5	192.5	192.5	0.0011655011655011655	0.0011655011655011655	0.0011655011655011655	0.0015971682638349306	0.0015971682638349306	0.0015971682638349306	0.009527509527509527	0.009527509527509527	0.009527509527509527
Math	58	629.0	629.0	629.0	629.0	629.0	629.0	629.0	629.0	629.0	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305	0.14831407686866305
Math	59	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377	0.0002413709872073377
Math	6	253.0	244.0	285.0	1564.5	1564.5	1564.5	2755.0	2763.0	2754.0	0.011221005011753226	0.010821838825564376	0.012640262562646915	0.06107876245810339	0.06102173871721927	0.061281513536802494	0.07230821543146908	0.07230525864490471	0.07239691902839993
Math	60	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221	0.005221130221130221
Math	61	331.0	331.0	331.0	331.0	331.0	331.0	331.0	331.0	331.0	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739	0.08967759414792739
Math	63	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676	0.00037105751391465676
Math	64	16.0	16.0	16.0	224.0	224.0	224.0	224.0	224.0	224.0	0.01224177505738332	0.01224177505738332	0.01224177505738332	0.14486100484570263	0.14486100484570263	0.14486100484570263	0.15812292782453455	0.15812292782453455	0.15812292782453455
Math	65	70.0	70.0	70.0	242.5	242.5	242.5	242.5	242.5	242.5	0.009915014164305949	0.009915014164305949	0.009915014164305949	0.018059490084985835	0.018059490084985835	0.018059490084985835	0.027367462565762852	0.027367462565762852	0.027367462565762852
Math	66	384.5	384.5	384.5	384.5	384.5	384.5	620.0	620.0	620.0	0.11511976047904192	0.11511976047904192	0.11511976047904192	0.11511976047904192	0.11511976047904192	0.11511976047904192	0.12247872675701228	0.12247872675701228	0.12246296879924362
Math	68	224.0	224.0	224.0	224.0	224.0	224.0	224.0	224.0	224.0	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354	0.1919451585261354
Math	69	154.5	154.5	154.5	154.5	154.5	154.5	154.5	154.5	154.5	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867	0.023384289390040867
Math	7	46.0	46.0	46.0	553.0	553.0	553.0	553.0	553.0	553.0	0.004055364542008287	0.004055364542008287	0.004055364542008287	0.02640394957242352	0.02640394957242352	0.02640394957242352	0.037578242087631136	0.037578242087631136	0.037578242087631136
