project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Closure	113	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867	0.00022092734252022867
Closure	114	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378	0.002222771054581378
Closure	115	3.0	5.0	7.0	131.0	172.0	42.0	2803.0	2803.0	2803.0	7.244801854669275e-05	0.00012074669757782124	0.00016904537660894975	0.0031635634765389167	0.004153686396677051	0.0010142722596536984	0.0676905986621266	0.0676905986621266	0.0676905986621266
Closure	116	39.0	44.0	46.0	74.0	108.0	75.0	74.0	108.0	75.0	0.0008486562942008486	0.0009574583832009574	0.001000979218801001	0.0016102709172016103	0.00235012512240235	0.001632031335001632	0.0016102709172016103	0.00235012512240235	0.001632031335001632
Closure	117	153.0	153.0	153.0	12987.0	12987.0	12987.0	23293.0	23293.0	23293.0	0.0037444017522821273	0.0037444017522821273	0.0037444017522821273	0.3178336310907712	0.3178336310907712	0.3178336310907712	0.5700545752673699	0.5700545752673699	0.5700545752673699
Closure	118	3291.5	3291.5	3291.5	3291.5	3291.5	3291.5	3291.5	3291.5	3291.5	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823	0.0711091427583823
Closure	119	22502.0	22502.0	22502.0	22502.0	22502.0	22502.0	22502.0	22502.0	22502.0	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829	0.5415383134385829
Closure	12	2337.0	2337.0	2337.0	2337.0	2337.0	2337.0	2337.0	2337.0	2337.0	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836	0.057445553315962836
Closure	120	2042.5	2042.5	2042.5	2042.5	2042.5	2042.5	2042.5	2042.5	2042.5	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467	0.05271239805925467
Closure	121	90.0	90.0	90.0	2011.5	2011.5	2011.5	2011.5	2011.5	2011.5	0.002321861617047624	0.002321861617047624	0.002321861617047624	0.051893607141014396	0.051893607141014396	0.051893607141014396	0.051893607141014396	0.051893607141014396	0.051893607141014396
Closure	122	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078	0.0002818754110683078
Closure	123	98.0	98.0	98.0	98.0	98.0	98.0	98.0	98.0	98.0	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981	0.003144956837071981
Closure	124	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527	0.00048738221596447527
Closure	125	95.0	95.0	95.0	95.0	95.0	95.0	95.0	95.0	95.0	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293	0.0023894562100709293
Closure	126	1731.5	1731.5	1731.5	1731.5	1731.5	1731.5	1731.5	1731.5	1731.5	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157	0.04996681384007157
Closure	127	1979.5	1979.5	1979.5	19644.5	19644.5	19644.5	19644.5	19644.5	19644.5	0.055817166704263475	0.055817166704263475	0.055817166704263475	0.5539279269117979	0.5539279269117979	0.5539279269117979	0.5539279269117979	0.5539279269117979	0.5539279269117979
Closure	128	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	6.866245536940401e-05	6.866245536940401e-05	6.866245536940401e-05	0.00010299368305410601	0.00010299368305410601	0.00010299368305410601	0.00010299368305410601	0.00010299368305410601	0.00010299368305410601
Closure	129	3537.5	3537.5	3537.5	3537.5	3537.5	3537.5	3537.5	3537.5	3537.5	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416	0.0641630239602416
Closure	13	4156.5	4156.5	4156.5	4156.5	4156.5	4156.5	4156.5	4156.5	4156.5	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496	0.07813704295516496
Closure	130	2090.5	2090.5	2090.5	2090.5	2090.5	2090.5	2090.5	2090.5	2090.5	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876	0.051516794401044876
Closure	131	94.0	83.0	84.0	96.0	104.0	101.5	96.0	104.0	101.5	0.002719986110709222	0.002401689863711334	0.0024306258861656878	0.002777858155617929	0.003009346335252756	0.0029370062791168727	0.002777858155617929	0.003009346335252756	0.0029370062791168727
Closure	132	1623.5	1623.5	1623.5	1623.5	1623.5	1623.5	1623.5	1623.5	1623.5	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729	0.04544691095372729
Closure	133	716.0	716.0	716.0	716.0	716.0	716.0	716.0	716.0	716.0	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806	0.058506291877757806
Closure	14	96.0	131.0	38.0	96.0	131.0	38.0	96.0	131.0	38.0	0.002375767174816868	0.0032419322906355177	0.0009404078400316769	0.002375767174816868	0.0032419322906355177	0.0009404078400316769	0.002375767174816868	0.0032419322906355177	0.0009404078400316769
