project_id	bug_id	temp_len	sloc	sloc_total	buggy_line	is_omission	is_not_found	shap_max	shap_min	shap_mean	buggy_line_max	buggy_line_min	buggy_line_mean
Mockito	12	279	4110	7284	org.mockito.internal.util.reflection.GenericMaster#20	1	0	39	267	69	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20
Mockito	12	279	4110	7284	org.mockito.internal.util.reflection.GenericMaster#21	1	0	39	267	69	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20
Mockito	12	279	4110	7284	org.mockito.internal.util.reflection.GenericMaster#22	1	0	39	267	69	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20	org.mockito.internal.util.reflection.GenericMaster#20
Mockito	13	625	4211	7287	org.mockito.internal.MockHandler#77	0	0	83	83	83			
Mockito	13	625	4211	7287	org.mockito.internal.MockHandler#81	1	0	83	83	83	org.mockito.internal.MockHandler#77	org.mockito.internal.MockHandler#77	org.mockito.internal.MockHandler#77
Mockito	13	625	4211	7287	org.mockito.internal.MockHandler#83	1	0	83	83	83	org.mockito.internal.MockHandler#77	org.mockito.internal.MockHandler#77	org.mockito.internal.MockHandler#77
Mockito	14	626	3818	7161	org.mockito.internal.MockitoCore#73	0	0	370	370	370			
Mockito	14	626	3818	7161	org.mockito.internal.MockHandler#20	1	0	370	370	370	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76
Mockito	14	626	3818	7161	org.mockito.internal.MockHandler#76	1	0	370	370	370	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76
Mockito	14	626	3818	7161	org.mockito.internal.MockHandler#79	1	0	370	370	370	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76	org.mockito.internal.MockHandler#76
Mockito	14	626	3818	7161	org.mockito.internal.MockitoCore#23	1	0	370	370	370	org.mockito.internal.MockitoCore#73	org.mockito.internal.MockitoCore#73	org.mockito.internal.MockitoCore#73
Mockito	15	475	3342	7562	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#4	1	0	276.5	276.5	276.5	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#34	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#34	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#34
Mockito	15	475	3342	7562	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#25	1	0	276.5	276.5	276.5	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25
Mockito	15	475	3342	7562	org.mockito.internal.configuration.injection.FinalMockCandidateFilter#26	1	0	276.5	276.5	276.5	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25	org.mockito.internal.configuration.injection.FinalMockCandidateFilter$1#25
Mockito	16	458	3219	6372	org.mockito.Mockito#827	0	0	268.5	268.5	268.5			
Mockito	16	458	3219	6372	org.mockito.internal.MockitoCore#32	0	0	4	4	4			
Mockito	16	458	3219	6372	org.mockito.internal.MockitoCore#35	1	0	268.5	268.5	268.5	org.mockito.internal.MockitoCore#35	org.mockito.internal.MockitoCore#35	org.mockito.internal.MockitoCore#35
Mockito	16	458	3219	6372	org.mockito.internal.MockitoCore#36	1	0	268.5	268.5	268.5	org.mockito.internal.MockitoCore#36	org.mockito.internal.MockitoCore#36	org.mockito.internal.MockitoCore#36
Mockito	17	213	2780	6364	org.mockito.internal.creation.MockSettingsImpl#22	0	0	2	2	2			
Mockito	17	213	2780	6364	org.mockito.internal.creation.MockSettingsImpl#20	1	0	2	2	2	org.mockito.internal.creation.MockSettingsImpl#22	org.mockito.internal.creation.MockSettingsImpl#22	org.mockito.internal.creation.MockSettingsImpl#22
Mockito	17	213	2780	6364	org.mockito.internal.util.MockUtil#19	1	0	139.5	139.5	139.5	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45
Mockito	17	213	2780	6364	org.mockito.internal.util.MockUtil#45	1	0	139.5	139.5	139.5	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45
Mockito	17	213	2780	6364	org.mockito.internal.util.MockUtil#46	1	0	139.5	139.5	139.5	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45	org.mockito.internal.util.MockUtil#45
